# Entity-resolution crosswalk: IIHS nameplate <-> FARS make/model codes.
# Built semi-automatically by src/vsa/tools/build_crosswalk.py:
# FARS VIN samples -> vPIC decode -> fuzzy match to IIHS nameplates.
# Low-confidence rows are duplicated into crosswalk_review.csv — review
# and correct HERE (this file is what resolve() reads). Every MY2017/
# MY2020 death-rate row must resolve or `make resolve` fails loudly.
iihs_name,fars_make_code,fars_model_code,vpic_body_class,drivetrain,class,luxury_flag
Chevrolet Silverado 2500 Crew Cab,20,880,Pickup,4WD,very large pickups,0
Subaru Forester,48,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Jeep Patriot,2,407,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Honda CR-V,37,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Ford Escape,12,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Volkswagen Tiguan,30,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,small SUVs,0
Volkswagen Tiguan,30,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Jeep Patriot,2,407,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small SUVs,0
Ford Explorer,12,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
GMC Terrain,23,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Ford Flex,12,25,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Hyundai Santa Fe Sport,55,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Hyundai Santa Fe Sport,55,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Dodge Journey,7,27,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Toyota 4Runner,49,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Toyota 4Runner,49,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize SUVs,0
Toyota Highlander,49,403,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
GMC Terrain,23,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize SUVs,0
Ford Expedition,12,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large SUVs,0
Ford Expedition,12,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,large SUVs,0
Ford Expedition EL,12,422,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,very large SUVs,0
Land Rover Range Rover Evoque,62,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,small luxury SUVs,1
Infiniti QX60,58,403,Crossover Utility Vehicle [CUV],4WD,midsize luxury SUVs,1
Lexus NX 200t,59,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,midsize luxury SUVs,1
Lexus NX 200t,59,405,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Infiniti QX60,58,403,Crossover Utility Vehicle [CUV],2WD,midsize luxury SUVs,1
Acura RDX,54,402,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],2WD,midsize luxury SUVs,1
Land Rover Range Rover,62,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large luxury SUVs,1
Porsche Cayenne,45,421,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large luxury SUVs,1
Lexus GX 460,59,404,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],4WD,large luxury SUVs,1
