cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2014,Honda Pilot,midsize SUVs,4WD,2011-14,15,5,25,8.0,8.0,2.0,893584
MY2014,Nissan Murano,midsize SUVs,2WD,2011-14,43,17,69,28.0,16.0,4.0,191985
MY2014,Mazda CX-9,midsize SUVs,2WD,2011-14,0,0,30,0.0,0.0,0.0,123616
MY2014,Jeep Grand Cherokee,midsize SUVs,4WD,2011-14,16,7,24,5.0,12.0,8.0,1120459
MY2014,Dodge Journey,midsize SUVs,4WD,2011-14,13,2,48,13.0,0.0,0.0,151962
MY2014,Nissan Pathfinder,midsize SUVs,2WD,2013-14,18,2,66,0.0,18.0,9.0,109722
MY2014,Ford Flex,midsize SUVs,2WD,2011-14,45,3,86,37.0,4.0,4.0,200337
MY2014,Toyota 4Runner,midsize SUVs,4WD,2011-14,9,2,26,0.0,9.0,3.0,342568
MY2014,Toyota Venza,midsize SUVs,2WD,2011-14,11,1,38,5.0,5.0,0.0,190237
MY2014,Nissan Pathfinder,midsize SUVs,4WD,2013-14,7,0,41,0.0,7.0,7.0,136701
MY2014,Nissan Xterra,midsize SUVs,4WD,2011-14,14,2,50,14.0,0.0,0.0,144660
MY2014,Dodge Journey,midsize SUVs,2WD,2011-14,21,7,35,14.0,7.0,3.0,452035
MY2014,Nissan Murano,midsize SUVs,4WD,2011-14,10,2,29,7.0,3.0,0.0,300485
MY2014,Jeep Grand Cherokee,midsize SUVs,2WD,2011-14,10,2,31,7.0,3.0,0.0,287385
MY2014,Toyota FJ Cruiser,midsize SUVs,4WD,2011-14,17,2,63,0.0,17.0,17.0,115212
MY2014,Honda Pilot,midsize SUVs,2WD,2011-14,17,3,32,11.0,7.0,6.0,462277
MY2014,GMC Terrain,midsize SUVs,2WD,2011-14,53,31,75,32.0,20.0,9.0,613984
MY2014,Chevrolet Captiva Sport,midsize SUVs,2WD,2012-14,39,9,69,26.0,12.0,8.0,188622
MY2014,GMC Terrain,midsize SUVs,4WD,2011-14,32,7,57,14.0,18.0,0.0,310334
MY2014,Ford Edge,midsize SUVs,2WD,2011-14,26,13,39,24.0,1.0,0.0,844465
MY2014,Toyota 4Runner,midsize SUVs,2WD,2011-14,19,4,56,0.0,19.0,6.0,155946
MY2014,Jeep Cherokee,midsize SUVs,4WD,2014,0,0,36,0.0,0.0,0.0,101931
MY2014,Jeep Wrangler 4-door,midsize SUVs,4WD,2011-14,27,14,41,7.0,22.0,17.0,813929
MY2014,Chevrolet Equinox,midsize SUVs,2WD,2011-14,33,22,44,22.0,10.0,7.0,1424478
MY2014,Chevrolet Equinox,midsize SUVs,4WD,2011-14,23,10,35,14.0,8.0,3.0,685118
MY2014,Ford Explorer,midsize SUVs,4WD,2011-14,4,0,9,3.0,1.0,0.0,675504
MY2014,Ford Edge,midsize SUVs,4WD,2011-14,24,5,43,14.0,10.0,2.0,460562
MY2014,Mazda CX-9,midsize SUVs,4WD,2011-14,20,4,59,7.0,13.0,0.0,148505
MY2014,GMC Yukon,large SUVs,4WD,2011-14,24,4,44,8.0,16.0,4.0,185222
MY2014,Chevrolet Traverse,large SUVs,2WD,2011-14,25,9,41,11.0,15.0,8.0,620808
MY2014,Chevrolet Tahoe,large SUVs,4WD,2011-14,32,10,54,25.0,6.0,0.0,378597
MY2014,Buick Enclave,large SUVs,4WD,2011-14,12,2,35,4.0,8.0,0.0,249114
MY2014,Dodge Durango,large SUVs,4WD,2011-14,16,3,28,5.0,11.0,8.0,289996
MY2014,GMC Acadia,large SUVs,2WD,2011-14,19,2,37,6.0,15.0,5.0,434282
MY2014,Dodge Durango,large SUVs,2WD,2011-14,16,3,46,0.0,16.0,10.0,191274
MY2014,Chevrolet Traverse,large SUVs,4WD,2011-14,20,3,38,7.0,14.0,2.0,448853
MY2014,Chevrolet Tahoe,large SUVs,2WD,2011-14,9,2,27,0.0,9.0,9.0,330512
MY2014,Buick Enclave,large SUVs,2WD,2011-14,30,7,54,30.0,0.0,0.0,369165
MY2014,GMC Yukon,large SUVs,2WD,2011-14,29,0,58,29.0,0.0,0.0,103804
MY2014,Ford Expedition,large SUVs,2WD,2011-14,8,0,47,8.0,0.0,0.0,119233
MY2014,GMC Acadia,large SUVs,4WD,2011-14,22,2,43,15.0,6.0,0.0,405229
MY2014,Ford Expedition,large SUVs,4WD,2011-14,23,0,46,12.0,12.0,6.0,132011
MY2014,GMC Yukon XL 1500,very large SUVs,4WD,2011-14,11,1,41,11.0,0.0,0.0,174363
MY2014,Chevrolet Suburban 1500,very large SUVs,4WD,2011-14,39,11,67,23.0,16.0,10.0,293380
MY2014,Chevrolet Suburban 1500,very large SUVs,2WD,2011-14,7,0,38,7.0,0.0,0.0,147811
MY2014,Mercedes-Benz GLK-Class,midsize luxury SUVs,2WD,2011-14,9,0,51,0.0,9.0,9.0,109665
MY2014,BMW X3,midsize luxury SUVs,4WD,2011-14,9,1,31,4.0,4.0,4.0,233924
MY2014,Mercedes-Benz GLK-Class,midsize luxury SUVs,4WD,2011-14,7,0,38,7.0,0.0,0.0,146073
MY2014,Lexus RX 350,midsize luxury SUVs,2WD,2011-14,0,0,12,0.0,0.0,0.0,303285
MY2014,Volvo XC60,midsize luxury SUVs,4WD,2011-14,10,0,55,0.0,10.0,10.0,101896
MY2014,Audi Q5,midsize luxury SUVs,4WD,2011-14,7,1,26,4.0,4.0,0.0,276860
MY2014,Cadillac SRX,midsize luxury SUVs,4WD,2011-14,23,0,49,14.0,8.0,4.0,186617
MY2014,Lincoln MKX,midsize luxury SUVs,2WD,2011-14,49,4,94,35.0,13.0,0.0,118254
MY2014,Mercedes-Benz M-Class,midsize luxury SUVs,4WD,2012-14,0,0,19,0.0,0.0,0.0,193245
MY2014,Lincoln MKX,midsize luxury SUVs,4WD,2011-14,15,2,55,15.0,0.0,0.0,131103
MY2014,Cadillac SRX,midsize luxury SUVs,2WD,2011-14,20,3,37,15.0,6.0,0.0,390912
MY2014,Lexus RX 350,midsize luxury SUVs,4WD,2011-14,2,0,14,2.0,0.0,0.0,403447
MY2014,Lexus GX 460,large luxury SUVs,4WD,2011-14,8,0,47,8.0,0.0,0.0,118181
MY2014,Audi Q7,large luxury SUVs,4WD,2011-14,0,0,36,0.0,0.0,0.0,102362
MY2014,Porsche Cayenne,large luxury SUVs,4WD,2011-14,9,0,48,0.0,9.0,9.0,115877
MY2011,Lexus IS 250,midsize luxury cars,4WD,2008-11,30,0,68,0.0,30.0,6.0,120537
MY2011,Acura TL,midsize luxury cars,2WD,2009-11,5,0,16,5.0,0.0,0.0,139458
MY2011,Mercedes-Benz C-Class,midsize luxury cars,4WD,2008-11,7,0,18,0.0,7.0,0.0,208643
MY2011,BMW 328i sedan,midsize luxury cars,,2008-11,7,0,15,5.0,2.0,2.0,322057
MY2011,BMW 328xi sedan,midsize luxury cars,,2008-11,16,0,42,0.0,16.0,0.0,171409
MY2011,Audi A4,midsize luxury cars,4WD,2009-11,0,0,31,0.0,0.0,0.0,120394
MY2011,Lexus IS 250,midsize luxury cars,2WD,2008-11,16,0,37,7.0,11.0,10.0,220052
MY2011,Infiniti G37 coupe,midsize luxury cars,2WD,2008-11,42,12,72,11.0,31.0,21.0,145678
MY2011,Mercedes-Benz C-Class,midsize luxury cars,2WD,2008-11,10,1,20,4.0,6.0,2.0,368751
MY2011,Lexus ES 350,midsize luxury cars,,2008-11,9,2,16,3.0,6.0,1.0,573619
MY2011,Cadillac DTS,large luxury cars,,2008-11,46,22,69,32.0,15.0,6.0,250591
MY2011,Cadillac CTS sedan,large luxury cars,2WD,2009-11,21,0,43,6.0,16.0,5.0,143135
MY2011,Lexus LS 460,very large luxury cars,2WD,2008-11,18,0,55,18.0,0.0,0.0,110210
MY2011,Chevrolet Camaro coupe,large sports cars,,2010-11,80,48,113,19.0,60.0,25.0,298350
MY2011,Chevrolet Aveo,mini station wagons/minivans,,2009-11,58,17,100,58.0,0.0,0.0,105060
MY2011,Kia Soul,small station wagons/minivans,,2010-11,32,12,52,30.0,3.0,0.0,238659
MY2011,Scion xB,small station wagons/minivans,,2008-11,31,16,47,20.0,11.0,4.0,392533
MY2011,Subaru Impreza,small station wagons/minivans,4WD,2009-11,25,0,64,25.0,0.0,0.0,111102
MY2011,Nissan Cube,small station wagons/minivans,,2009-11,66,14,118,38.0,29.0,6.0,131761
MY2011,Chevrolet HHR,small station wagons/minivans,,2009-11,61,30,91,34.0,25.0,9.0,397838
MY2011,Dodge Caliber,small station wagons/minivans,2WD,2008-11,39,19,58,19.0,20.0,12.0,574523
MY2011,Volkswagen Jetta,midsize station wagons/minivans,,2009-11,6,0,18,6.0,0.0,0.0,124544
MY2011,Subaru Outback,midsize station wagons/minivans,4WD,2010-11,6,0,14,0.0,6.0,3.0,264109
MY2011,Toyota Sienna,very large station wagons/minivans,2WD,2011,27,0,66,12.0,16.0,15.0,148898
MY2011,Dodge Grand Caravan,very large station wagons/minivans,,2008-11,27,15,39,22.0,4.0,1.0,1061095
MY2011,Kia Sedona,very large station wagons/minivans,,2008-11,16,0,37,16.0,0.0,0.0,221446
MY2011,Honda Odyssey,very large station wagons/minivans,,2011,0,0,37,0.0,0.0,0.0,100518
MY2011,Chrysler Town & Country,very large station wagons/minivans,,2008-11,25,15,35,16.0,8.0,2.0,1109920
MY2011,Toyota Tacoma Xtra,small pickups,4WD,2009-11,20,0,44,7.0,13.0,7.0,112892
MY2011,Toyota Tacoma Double short bed,small pickups,2WD,2009-11,19,0,49,19.0,0.0,0.0,145733
MY2011,Toyota Tacoma Xtra,small pickups,2WD,2009-11,28,0,71,28.0,0.0,0.0,100884
MY2011,Toyota Tacoma Double short bed,small pickups,4WD,2009-11,20,0,41,11.0,10.0,5.0,150514
MY2011,Chevrolet Silverado 1500 Crew,large pickups,4WD,2010-11,79,40,117,40.0,36.0,17.0,227007
MY2011,Dodge Ram 1500 Quad,large pickups,4WD,2009-11,8,0,20,0.0,8.0,4.0,185420
MY2011,Toyota Tundra Double short bed,large pickups,4WD,2008-11,15,4,27,7.0,8.0,2.0,352117
MY2011,Ford F-150 Super,large pickups,4WD,2009-11,39,19,58,13.0,26.0,7.0,318178
MY2011,Ford F-150 Crew,large pickups,4WD,2009-11,27,13,40,15.0,12.0,6.0,719382
MY2011,Ford F-150 Regular,large pickups,2WD,2009-11,30,0,59,5.0,27.0,0.0,171870
MY2011,Dodge Ram 1500 Crew short bed,large pickups,4WD,2009-11,28,7,50,17.0,12.0,4.0,188367
MY2011,Toyota Tundra Crew Max,large pickups,2WD,2008-11,41,0,83,34.0,6.0,0.0,122927
MY2011,Ford F-150 Super,large pickups,2WD,2009-11,24,4,44,17.0,8.0,0.0,191480
MY2011,Toyota Tundra Double short bed,large pickups,2WD,2008-11,18,4,32,14.0,5.0,3.0,290908
MY2011,Dodge Ram 1500 Quad,large pickups,2WD,2009-11,29,3,54,12.0,17.0,0.0,133799
MY2011,Chevrolet Silverado 1500 Crew,large pickups,2WD,2010-11,12,0,29,6.0,6.0,6.0,127150
MY2011,Toyota Tundra Crew Max,large pickups,4WD,2008-11,20,0,46,5.0,18.0,4.0,176959
MY2011,Honda Ridgeline,large pickups,4WD,2008-11,13,0,25,13.0,0.0,0.0,244108
MY2011,Dodge Ram 1500 Crew short bed,large pickups,2WD,2009-11,18,0,39,6.0,12.0,6.0,125958
MY2011,Ford F-150 Crew,large pickups,2WD,2009-11,19,6,31,13.0,6.0,0.0,371109
MY2011,Chevrolet Silverado 1500 Ext,large pickups,4WD,2010-11,36,8,64,20.0,14.0,4.0,206052
MY2011,Jeep Patriot,small SUVs,2WD,2008-11,57,20,95,44.0,9.0,3.0,248487
MY2011,Ford Escape,small SUVs,4WD,2009-11,35,16,54,28.0,8.0,4.0,384876
MY2011,Nissan Rogue,small SUVs,4WD,2008-11,25,7,42,12.0,14.0,0.0,513731
MY2011,Jeep Compass,small SUVs,2WD,2008-11,7,0,20,7.0,0.0,0.0,114776
