nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Ford F250 Crew Cab,4WD,very large pickups,MY2017,30.0,6.0,55.0,,-0.006915986556054439
Chevrolet Silverado 3500 Crew Cab,4WD,very large pickups,MY2017,15.0,0.0,32.0,,-0.9405741716234071
Ram 2500 Mega Cab,4WD,very large pickups,MY2017,47.0,0.0,105.0,,1.0512299565202785
Ram 2500 Crew Cab short bed,4WD,very large pickups,MY2017,30.0,18.0,43.0,,-0.006915986556054439
Chevrolet Silverado 2500 Extended Cab,4WD,very large pickups,MY2017,15.0,0.0,32.0,,-0.9405741716234071
Ram 3500 Crew Cab long bed,4WD,very large pickups,MY2017,32.0,12.0,52.0,,0.11757177145292591
Ram 2500 Crew Cab long bed,4WD,very large pickups,MY2017,63.0,27.0,99.0,,2.0471320205921213
GMC Sierra 2500 Crew Cab,4WD,very large pickups,MY2017,22.0,6.0,38.0,,-0.5048670185919758
Chevrolet Silverado 2500 Crew Cab,4WD,very large pickups,MY2017,17.0,7.0,27.0,,-0.8160864136144267
Hyundai Tucson,4WD,small SUVs,MY2017,18.0,0.0,47.0,,-0.8747452453528474
Mitsubishi Outlander Sport,2WD,small SUVs,MY2017,43.0,9.0,77.0,,0.43363439513218066
Toyota RAV4,2WD,small SUVs,MY2017,28.0,0.0,59.0,,-0.35139338915883617
Toyota RAV4,4WD,small SUVs,MY2017,10.0,0.0,30.0,,-1.2934267303080564
Subaru Forester,4WD,small SUVs,MY2017,17.0,10.0,24.0,,-0.9270804309722485
Jeep Renegade,2WD,small SUVs,MY2017,13.0,0.0,27.0,,-1.136421173449853
Jeep Patriot,2WD,small SUVs,MY2017,60.0,35.0,85.0,,1.3233325506619997
Mitsubishi Outlander,2WD,small SUVs,MY2017,55.0,5.0,104.0,,1.0616566225649942
Nissan Rogue,4WD,small SUVs,MY2017,13.0,7.0,20.0,,-1.136421173449853
Jeep Compass,2WD,small SUVs,MY2017,55.0,25.0,85.0,,1.0616566225649942
Hyundai Tucson,2WD,small SUVs,MY2017,61.0,18.0,103.0,,1.375667736281401
Jeep Renegade,4WD,small SUVs,MY2017,26.0,4.0,48.0,,-0.4560637603976384
Jeep Wrangler 2-door,4WD,small SUVs,MY2017,46.0,25.0,68.0,,0.590639951990384
Honda HR-V,4WD,small SUVs,MY2017,9.0,0.0,21.0,,-1.3457619159274574
Honda CR-V,2WD,small SUVs,MY2017,18.0,0.0,54.0,,-0.8747452453528474
Mitsubishi Outlander,4WD,small SUVs,MY2017,7.0,0.0,22.0,,-1.4504322871662596
Ford Escape,2WD,small SUVs,MY2017,29.0,20.0,38.0,,-0.299058203539435
Volkswagen Tiguan,2WD,small SUVs,MY2017,24.0,3.0,46.0,,-0.5607341316364406
Mitsubishi Outlander Sport,4WD,small SUVs,MY2017,67.0,12.0,122.0,,1.6896788499978075
Chevrolet Trax,2WD,small SUVs,MY2017,73.0,32.0,114.0,,2.0036899637142143
Nissan Rogue,2WD,small SUVs,MY2017,51.0,32.0,70.0,,0.8523158800873897
Volkswagen Tiguan,4WD,small SUVs,MY2017,29.0,0.0,62.0,,-0.299058203539435
Honda HR-V,2WD,small SUVs,MY2017,50.0,4.0,95.0,,0.7999806944679885
